CG10543	FBtr0332593
grau	FBtr0071548
CG9346	FBtr0071526
CG3295	FBtr0071547
CG9350	FBtr0071530
shg	FBtr0071546
cpa	FBtr0071532
CG10527	FBtr0071541
CG4038	FBtr0071639
CG9394	FBtr0071567
CG9394	FBtr0345356
mago	FBtr0071569
Xbp1	FBtr0310044
Hmg-2	FBtr0071573
CG30389	FBtr0071632
CG30389	FBtr0330236
CG4266	FBtr0071629
hng1	FBtr0071575
LSm1	FBtr0071628
Xpd	FBtr0071576
Glycogenin	FBtr0339090
CG30392	FBtr0071618
Sgf29	FBtr0071617
RpL29	FBtr0071592
CG42672	FBtr0302703
CR45149	FBtr0344936
CG9754	FBtr0071615
CG9485	FBtr0071600
dom	FBtr0071604
snoRNA:Me28S-G2596	FBtr0114302
snmRNA:184	FBtr0091920
CG10795	FBtr0071609
Sara	FBtr0071641
MESK2	FBtr0089711
CG10494	FBtr0071700
CG18870	FBtr0345664
CG18870	FBtr0071688
PTP-ER	FBtr0071686
mahj	FBtr0071658
mahj	FBtr0304728
CG10321	FBtr0071660
CG10321	FBtr0330228
CG30284	FBtr0071684
CG10320	FBtr0300680
Rae1	FBtr0071683
CG42365	FBtr0299964
CG9865	FBtr0071680
CG42381	FBtr0299989
CG42379	FBtr0299990
CG42380	FBtr0299992
CG10306	FBtr0071670
Tbp	FBtr0071679
Tim10	FBtr0071677
CG30403	FBtr0114523
HmgD	FBtr0071708
HmgD	FBtr0071709
Tango11	FBtr0071747
CG30398	FBtr0071710
LBR	FBtr0071712
CG9304	FBtr0071726
CG9304	FBtr0345537
Snp	FBtr0339099
CG44249	FBtr0339103
Snp	FBtr0339102
Snp	FBtr0339101
CG11474	FBtr0303766
CG11474	FBtr0071802
CG2921	FBtr0071800
GlcT-1	FBtr0071755
Vrp1	FBtr0071792
mei-S332	FBtr0342979
MED16	FBtr0071770
ari-2	FBtr0071774
pgc	FBtr0112519
Rtf1	FBtr0071820
Rtf1	FBtr0342988
qkr58E-1	FBtr0339537
qkr58E-2	FBtr0344880
qkr58E-2	FBtr0071828
mRpS29	FBtr0071842
CG4610	FBtr0071834
dnr1	FBtr0330229
dnr1	FBtr0071837
RpS16	FBtr0071855
CG17807	FBtr0071938
Cdk9	FBtr0071937
bonsai	FBtr0071860
CG3732	FBtr0071936
RpS24	FBtr0071935
CG2852	FBtr0345504
CG2852	FBtr0071933
RYBP	FBtr0345500
RYBP	FBtr0071868
Ppa	FBtr0343014
Ppa	FBtr0071924
Ppa	FBtr0330249
CR44763	FBtr0343006
CR44764	FBtr0343007
blw	FBtr0071883
CycB	FBtr0071914
CycB	FBtr0071913
CycB	FBtr0071911
RpL23	FBtr0071897
CG3501	FBtr0071907
Gmer	FBtr0071905
CG3800	FBtr0303464
CG3800	FBtr0071994
CG9849	FBtr0302895
CG3831	FBtr0071993
twi	FBtr0071953
twi	FBtr0100130
l(2)06496	FBtr0071985
l(2)06496	FBtr0336732
CG9890	FBtr0071984
l(2)k09913	FBtr0071958
l(2)k09913	FBtr0343189
l(2)k09913	FBtr0071960
l(2)k09913	FBtr0343188
Fib	FBtr0071982
CG3085	FBtr0071963
CG43659	FBtr0310345
CG9863	FBtr0290285
Rpi	FBtr0301852
Rpi	FBtr0305675
CG34424	FBtr0343202
vir	FBtr0072037
Ice1	FBtr0072010
CG13551	FBtr0072033
CG30415	FBtr0072030
eIF2B-delta	FBtr0072015
CG3530	FBtr0072028
RabX1	FBtr0072120
mi	FBtr0072058
CG30185	FBtr0072060
wmd	FBtr0072114
levy	FBtr0343265
levy	FBtr0072061
pita	FBtr0072112
Dcp-1	FBtr0072062
CG30184	FBtr0072065
apt	FBtr0072066
retn	FBtr0072072
retn	FBtr0340030
angel	FBtr0072083
CG4091	FBtr0072096
l(2)dtl	FBtr0072085
l(2)tid	FBtr0089505
l(2)tid	FBtr0089504
Ssrp	FBtr0072242
CG5543	FBtr0072124
Nxt1	FBtr0072241
Snap29	FBtr0072236
CG5554	FBtr0072126
ytr	FBtr0072234
eIF6	FBtr0072235
CR45928	FBtr0347022
gbb	FBtr0072127
Pym	FBtr0072233
CG4585	FBtr0343277
CG4585	FBtr0072227
CG5569	FBtr0072128
Thiolase	FBtr0072226
CG4882	FBtr0072225
DCP1	FBtr0072223
DCP1	FBtr0301648
DNA-ligI	FBtr0072132
Upf3	FBtr0343302
Upf3	FBtr0072221
CG5339	FBtr0072220
Nap1	FBtr0072219
CG2812	FBtr0072140
Ca-P60A	FBtr0072216
Ca-P60A	FBtr0072217
Ca-P60A	FBtr0072214
Tal	FBtr0072141
CG2970	FBtr0072145
CG2970	FBtr0331980
fzr2	FBtr0072146
CG3803	FBtr0072208
thoc5	FBtr0072147
CG16787	FBtr0072207
CG10904	FBtr0343289
CG10904	FBtr0072205
CG3065	FBtr0072154
CG3065	FBtr0072155
Gadd34	FBtr0072204
CG3860	FBtr0072201
CR45350	FBtr0345790
Adk2	FBtr0072163
PebIII	FBtr0343341
HSPC300	FBtr0072194
CG3163	FBtr0072165
Chi	FBtr0072191
MAN1	FBtr0345949
MAN1	FBtr0072166
tsr	FBtr0072188
eIF-5A	FBtr0072173
RpL12	FBtr0072175
RpL12	FBtr0072174
RpL12	FBtr0072176
RpL39	FBtr0072185
Rap2l	FBtr0072177
yki	FBtr0290258
CG3209	FBtr0072179
tamo	FBtr0072281
tamo	FBtr0343438
DnaJ-60	FBtr0301272
CG42568	FBtr0301274
spag	FBtr0072256
mRpS17	FBtr0072277
cN-IIIB	FBtr0072261
bs	FBtr0343314
bs	FBtr0072271
slik	FBtr0100470
Rpn8	FBtr0072290
Rpn8	FBtr0330237
Ir60b	FBtr0299669
CG4612	FBtr0306137
CG4612	FBtr0072346
CG13585	FBtr0300488
CG4622	FBtr0072344
Nurf-38	FBtr0273253
Nurf-38	FBtr0072343
CG11414	FBtr0072307
uri	FBtr0072308
CG3511	FBtr0343484
CG4692	FBtr0072339
CG3570	FBtr0072317
CG4707	FBtr0072338
CG42360	FBtr0299959
Cpr60D	FBtr0343491
Cpr60D	FBtr0072334
CG30161	FBtr0072333
NDUFA8	FBtr0072324
CG34214	FBtr0112407
CG4806	FBtr0072332
CG12848	FBtr0072437
GstE12	FBtr0072436
egg	FBtr0112777
Eap	FBtr0072374
Aats-tyr-m	FBtr0072429
Orc4	FBtr0072425
Atf-2	FBtr0339096
RpL41	FBtr0100231
CG3760	FBtr0072392
CG3760	FBtr0339276
CG3760	FBtr0072391
CG2811	FBtr0072412
Tina-1	FBtr0072411
CG2790	FBtr0072409
CG2765	FBtr0308687
RpL19	FBtr0072405
RpL19	FBtr0072406
CG3776	FBtr0072395
Kr	FBtr0072449
Kr	FBtr0333162
CR45473	FBtr0345995
G9a	FBtr0070063
ebo	FBtr0070098
CG13373	FBtr0112947
CG18273	FBtr0070094
svr	FBtr0070084
svr	FBtr0290016
svr	FBtr0344738
CG4293	FBtr0070090
vnd	FBtr0070110
CG13366	FBtr0339432
CG13365	FBtr0070160
mod(r)	FBtr0089724
mod(r)	FBtr0089725
mod(r)	FBtr0089726
CG13364	FBtr0070159
CG17829	FBtr0070116
RpL36	FBtr0070156
RpL36	FBtr0070158
l(1)1Bi	FBtr0070119
Roc1a	FBtr0070122
Roc1a	FBtr0308651
Hmt4-20	FBtr0070151
SkpA	FBtr0070125
sdk	FBtr0302259
CG5273	FBtr0070135
CG5273	FBtr0070136
CG5273	FBtr0070137
RpL22	FBtr0070148
CG16989	FBtr0070140
CG16989	FBtr0343325
Rbf	FBtr0070146
CG13359	FBtr0070145
Sec22	FBtr0070141
MED22	FBtr0070165
CG3708	FBtr0331301
CG3706	FBtr0070189
TRAM	FBtr0070168
TRAM	FBtr0307182
CG3704	FBtr0070188
mus81	FBtr0070170
CG3699	FBtr0070186
CG3021	FBtr0070173
CDC45L	FBtr0070182
CG42259	FBtr0305650
CG3655	FBtr0331340
CG11382	FBtr0342728
CG11382	FBtr0070205
CG11398	FBtr0345522
CG11398	FBtr0070250
DAAM	FBtr0070239
CG11412	FBtr0070209
CG11412	FBtr0310619
CG12773	FBtr0070235
CG11417	FBtr0070212
png	FBtr0070234
ssx	FBtr0070215
ssx	FBtr0339774
AMPKalpha	FBtr0070216
CG3719	FBtr0070233
CG14786	FBtr0070230
CG14787	FBtr0070298
O-fut2	FBtr0070296
pck	FBtr0070256
mei-38	FBtr0070258
rush	FBtr0070259
sta	FBtr0070290
inc	FBtr0339590
inc	FBtr0070260
CG3740	FBtr0070283
hfw	FBtr0070270
hfw	FBtr0333115
a6	FBtr0070279
CG14812	FBtr0070372
deltaCOP	FBtr0301926
CG14814	FBtr0070369
MED18	FBtr0070308
Pex5	FBtr0070368
CG14803	FBtr0070310
Pgam5	FBtr0070366
Pgam5	FBtr0339601
Vps26	FBtr0070311
CG14817	FBtr0345510
CG14817	FBtr0070365
CG14805	FBtr0070312
CG14806	FBtr0070313
CG14806	FBtr0331384
trr	FBtr0070362
mRpL16	FBtr0070314
mRpL16	FBtr0332579
arm	FBtr0089991
Edem1	FBtr0305583
Edem1	FBtr0070354
eIF2B-epsilon	FBtr0070351
eIF2B-epsilon	FBtr0070350
CG11596	FBtr0070318
CG11596	FBtr0070319
CG3857	FBtr0070349
CG3587	FBtr0070321
CG4406	FBtr0070347
Actn	FBtr0070344
usp	FBtr0070346
CG4281	FBtr0070339
CG4199	FBtr0070337
CR44382	FBtr0340111
CG16903	FBtr0070434
Unc-76	FBtr0070376
Unc-76	FBtr0333754
csw	FBtr0070378
Pgd	FBtr0070384
Pgd	FBtr0331410
bcn92	FBtr0070431
wapl	FBtr0344159
wapl	FBtr0070430
wapl	FBtr0070429
CG3621	FBtr0070386
CG3621	FBtr0343049
CR45479	FBtr0346009
CG17776	FBtr0345607
CG17776	FBtr0070390
Vinc	FBtr0070420
kz	FBtr0070419
kz	FBtr0342769
fs(1)K10	FBtr0070396
crn	FBtr0070418
temp	FBtr0345316
temp	FBtr0070414
CG3071	FBtr0070398
CG2918	FBtr0070411
CG2865	FBtr0070408
phl	FBtr0070401
ptr	FBtr0070402
CG12496	FBtr0070462
gt	FBtr0070460
tko	FBtr0070459
z	FBtr0070435
z	FBtr0100380
z	FBtr0331161
CG13760	FBtr0308567
wds	FBtr0070438
egh	FBtr0070439
Klp3A	FBtr0070448
Klp3A	FBtr0340093
Zw10	FBtr0070441
CG8636	FBtr0070446
Seipin	FBtr0070442
PI4KIIIalpha	FBtr0307158
CG2658	FBtr0345716
CG2658	FBtr0070502
CG2662	FBtr0070478
CG2662	FBtr0345709
Csat	FBtr0070501
Csat	FBtr0345710
eIF2B-beta	FBtr0070479
CG2685	FBtr0070499
CG2694	FBtr0070482
CG2694	FBtr0310649
CG2701	FBtr0070498
fs(1)Ya	FBtr0070485
dwg	FBtr0070487
CG2712	FBtr0070488
crm	FBtr0070495
N	FBtr0304659
N	FBtr0070507
CG18508	FBtr0345708
CG18508	FBtr0070543
CG3939	FBtr0070508
CG3939	FBtr0343600
dm	FBtr0070525
CG10802	FBtr0070568
CG14270	FBtr0070590
CG10803	FBtr0332285
CG2875	FBtr0070586
Parg	FBtr0307280
Parg	FBtr0307279
Rala	FBtr0070584
tlk	FBtr0299579
CR33221	FBtr0305348
roX1	FBtr0345714
roX1	FBtr0337067
roX1	FBtr0337066
roX1	FBtr0070634
VhaAC39-1	FBtr0070611
CG2941	FBtr0070613
CG2941	FBtr0345711
Vap-33A	FBtr0070616
CG6428	FBtr0070625
brn	FBtr0070638
cib	FBtr0070639
Nsun2	FBtr0070669
dgt4	FBtr0070642
Tip60	FBtr0333186
Tip60	FBtr0070668
tyf	FBtr0305181
tyf	FBtr0305182
tyf	FBtr0305185
GlcAT-I	FBtr0070644
CG2982	FBtr0070648
CG3626	FBtr0070652
rb	FBtr0070702
rb	FBtr0343568
CHOp24	FBtr0070675
CHOp24	FBtr0343566
Usf	FBtr0308917
Usf	FBtr0070701
CG15912	FBtr0070677
CG11436	FBtr0070699
CG3527	FBtr0070678
CG11444	FBtr0070698
mRpL30	FBtr0070682
Torsin	FBtr0070690
Torsin	FBtr0345715
Cbp80	FBtr0070683
Pp2C1	FBtr0343531
Pp2C1	FBtr0070685
ctp	FBtr0070706
l(1)G0334	FBtr0070708
CG44774	FBtr0345209
CG44774	FBtr0343137
CG17764	FBtr0070757
Cdk7	FBtr0070756
snf	FBtr0070748
dhd	FBtr0345745
dhd	FBtr0070749
Sas10	FBtr0070751
Mcm3	FBtr0070762
CG3309	FBtr0070798
spoon	FBtr0070794
CG4165	FBtr0070773
CG4165	FBtr0340462
RhoGAP5A	FBtr0070785
Mlc-c	FBtr0070783
l(1)G0045	FBtr0070782
CG4119	FBtr0070799
CG4119	FBtr0340463
RpL35	FBtr0345788
RpL35	FBtr0070800
RpL35	FBtr0070801
CR45525	FBtr0346064
cv	FBtr0340465
CG32758	FBtr0070843
IntS6	FBtr0332399
CG4078	FBtr0070807
CG4078	FBtr0332398
lin-52	FBtr0339744
lin-52	FBtr0070840
CG15771	FBtr0345789
CG15771	FBtr0070809
MAPk-Ak2	FBtr0070837
MAPk-Ak2	FBtr0070839
CG15766	FBtr0070832
CR43264	FBtr0306548
mof	FBtr0070829
CG3016	FBtr0343537
CG3016	FBtr0070828
Act5C	FBtr0070822
Act5C	FBtr0070823
CG12236	FBtr0070826
CG12236	FBtr0070825
CG3011	FBtr0345317
CG3011	FBtr0070827
CG12728	FBtr0070859
CG32756	FBtr0070860
CG32756	FBtr0343295
CG5966	FBtr0070866
CG5941	FBtr0305344
CG5941	FBtr0070867
raptor	FBtr0345895
raptor	FBtr0332964
Efr	FBtr0070874
sqh	FBtr0070877
Spx	FBtr0070894
schlank	FBtr0070938
Ubi-p5E	FBtr0345892
Ubi-p5E	FBtr0070933
Top3beta	FBtr0340028
Top3beta	FBtr0070930
wuho	FBtr0070897
CG15896	FBtr0070898
CG15896	FBtr0305494
CG15891	FBtr0100319
CG15891	FBtr0346642
CG3815	FBtr0070899
CG42240	FBtr0290308
CG42240	FBtr0330208
CG3842	FBtr0070904
CG3847	FBtr0070905
CG3446	FBtr0347282
CG3446	FBtr0070924
CG3446	FBtr0340026
kdn	FBtr0070907
swa	FBtr0070922
Marf	FBtr0070910
CR44816	FBtr0343374
PpV	FBtr0070921
CG3918	FBtr0070912
RpL7A	FBtr0343328
RpL7A	FBtr0070916
RpL7A	FBtr0070915
dx	FBtr0070914
APC7	FBtr0070946
APC7	FBtr0070947
CG14443	FBtr0308654
CG3226	FBtr0070993
l(1)G0148	FBtr0070950
Mcm6	FBtr0070952
CG3192	FBtr0343330
CG3192	FBtr0100409
l(1)G0255	FBtr0070953
CG14442	FBtr0070988
CG14442	FBtr0300772
CG14442	FBtr0339493
CG14440	FBtr0070987
CG14440	FBtr0310419
RpL17	FBtr0345292
RpL17	FBtr0070980
CR43496	FBtr0309527
CG14438	FBtr0070962
COQ7	FBtr0070963
pod1	FBtr0070964
Nf-YC	FBtr0070974
CG14435	FBtr0343323
CG14435	FBtr0071042
CG4557	FBtr0070994
CG4558	FBtr0070995
CG4558	FBtr0300177
CG14434	FBtr0071040
CG43736	FBtr0345898
CG43736	FBtr0330262
CG43736	FBtr0330264
CG43736	FBtr0330266
CG43736	FBtr0330268
CG32732	FBtr0071039
CG4586	FBtr0071003
CG3040	FBtr0071038
CG3032	FBtr0071032
CG3032	FBtr0345908
CG4593	FBtr0343331
CG4593	FBtr0071009
CG14427	FBtr0071010
CG4615	FBtr0071020
CG4617	FBtr0331308
CG8300	FBtr0071015
fz4	FBtr0071018
CG1677	FBtr0089712
CG2059	FBtr0071047
unc-119	FBtr0071066
brk	FBtr0071048
Atg5	FBtr0071065
Dok	FBtr0071049
CBP	FBtr0071052
CBP	FBtr0329894
NELF-B	FBtr0071077
CG12155	FBtr0071071
Tom40	FBtr0071073
CG10932	FBtr0345982
CG10932	FBtr0071143
Nek2	FBtr0071142
CG18624	FBtr0071140
CG45089	FBtr0344535
p115	FBtr0071089
RpS6	FBtr0071135
snoRNA:Or-aca2	FBtr0113562
bys	FBtr0071090
CG1444	FBtr0071091
CG10777	FBtr0071132
CG10777	FBtr0344137
RpS14a	FBtr0071094
CG42593	FBtr0301748
CG42593	FBtr0331298
l(1)G0193	FBtr0071129
sws	FBtr0071126
sws	FBtr0071125
CR45620	FBtr0346307
sn	FBtr0071102
UbcE2H	FBtr0071112
UbcE2H	FBtr0071114
Gclc	FBtr0340138
CG1575	FBtr0071151
CG2260	FBtr0071194
CG2116	FBtr0071152
CG10958	FBtr0071153
Smox	FBtr0340159
Smox	FBtr0071192
CG17982	FBtr0071191
CG2263	FBtr0071190
CG2129	FBtr0071155
CG10959	FBtr0071157
Gbeta5	FBtr0071189
CG18262	FBtr0071158
Traf6	FBtr0071188
GIIIspla2	FBtr0303457
GIIIspla2	FBtr0345987
slpr	FBtr0303843
slpr	FBtr0071184
CG2147	FBtr0071166
sni	FBtr0071183
sni	FBtr0344985
Trxr-1	FBtr0071167
Trxr-1	FBtr0071168
ND75	FBtr0071181
ND75	FBtr0071180
Corp	FBtr0307283
Corp	FBtr0071179
CG10555	FBtr0071174
CG10555	FBtr0343353
CG11190	FBtr0071175
CG12125	FBtr0071246
CG12125	FBtr0345986
CG12125	FBtr0300383
CG1440	FBtr0071197
Es2	FBtr0071198
Sptr	FBtr0071241
otu	FBtr0071236
IntS4	FBtr0071234
CG12112	FBtr0071233
Trf4-1	FBtr0071213
Trf4-1	FBtr0112963
CG12081	FBtr0071218
CG12081	FBtr0332626
CG12659	FBtr0332627
Crag	FBtr0071219
Crag	FBtr0343356
Caf1-180	FBtr0071228
CG11284	FBtr0345984
CG11284	FBtr0071222
CG2004	FBtr0071281
CG2004	FBtr0332957
CG2004	FBtr0332958
CG1785	FBtr0071250
CG1789	FBtr0071251
CG1885	FBtr0333606
CG1885	FBtr0071268
Rbm13	FBtr0071255
Rbm13	FBtr0346163
e(r)	FBtr0071266
CG12662	FBtr0071264
CG7246	FBtr0071353
HP1b	FBtr0309871
APC4	FBtr0071285
CG32708	FBtr0071286
CG7033	FBtr0071289
CG7766	FBtr0309250
Arfrp1	FBtr0071293
fend	FBtr0333304
fend	FBtr0071349
fh	FBtr0071348
dalao	FBtr0071300
His3.3B	FBtr0340343
His3.3B	FBtr0071345
Ost48	FBtr0071344
Zpr1	FBtr0071342
CG12056	FBtr0071305
CG12106	FBtr0071306
CG12121	FBtr0071334
Larp7	FBtr0301275
amx	FBtr0307281
amx	FBtr0071331
Dsor1	FBtr0071313
ric8a	FBtr0071317
ric8a	FBtr0346166
Cfp1	FBtr0071327
CG16892	FBtr0071319
CG16892	FBtr0339949
c12.1	FBtr0071324
BCL7-like	FBtr0071358
l(1)G0320	FBtr0343412
l(1)G0320	FBtr0071372
RpS28b	FBtr0071360
CG32699	FBtr0110850
Hex-A	FBtr0333335
Hex-A	FBtr0071361
Hex-A	FBtr0071362
Gga	FBtr0071363
Lst8	FBtr0071368
Aats-lys	FBtr0071366
CG42797	FBtr0303708
l(1)G0232	FBtr0071405
l(1)G0232	FBtr0071404
nej	FBtr0071402
btd	FBtr0071379
CG1354	FBtr0089386
Idgf4	FBtr0343030
Idgf4	FBtr0071393
CG2972	FBtr0071430
CG2972	FBtr0340473
CG2974	FBtr0290234
CG34408	FBtr0343027
Gip	FBtr0071472
l(1)G0289	FBtr0071470
l(1)G0289	FBtr0347008
CG17841	FBtr0071444
Psf3	FBtr0333306
Psf3	FBtr0346350
Psf3	FBtr0071465
Neb-cGP	FBtr0071449
Neb-cGP	FBtr0332952
nocte	FBtr0071460
nocte	FBtr0071461
CG2887	FBtr0071459
spri	FBtr0112690
CG32676	FBtr0333017
CG32676	FBtr0071503
CR44766	FBtr0343044
Tango5	FBtr0071500
Tango5	FBtr0300569
Tango5	FBtr0346377
Atg8a	FBtr0071498
BTBD9	FBtr0071497
BTBD9	FBtr0334456
sesB	FBtr0073421
sesB	FBtr0346384
CG32669	FBtr0073412
CG17333	FBtr0073379
CG2202	FBtr0073380
feo	FBtr0073410
CG1637	FBtr0073407
CG2145	FBtr0073387
CG2145	FBtr0343591
Hsp60	FBtr0073434
Rpt3	FBtr0346274
Rpt3	FBtr0073436
Klp10A	FBtr0346270
Klp10A	FBtr0073475
Klp10A	FBtr0073476
Ran	FBtr0073472
Ran	FBtr0073471
Dlic	FBtr0073441
Dlic	FBtr0073443
sisA	FBtr0073461
l(1)10Bb	FBtr0073460
CG34348	FBtr0112557
CG11756	FBtr0073450
CG1738	FBtr0073451
CG11752	FBtr0073452
CG1737	FBtr0073453
dsh	FBtr0073454
Pa1	FBtr0073456
hop	FBtr0073457
Tim8	FBtr0073482
Tim8	FBtr0343640
HP5	FBtr0073499
CG1749	FBtr0073505
RpII215	FBtr0073542
Kmn1	FBtr0073541
CG11697	FBtr0073511
CG11696	FBtr0073512
e(y)2	FBtr0073540
rho-4	FBtr0073519
CG1703	FBtr0343647
CG1703	FBtr0073520
RPA3	FBtr0343586
RPA3	FBtr0073535
Met	FBtr0073521
Met	FBtr0343585
CG2371	FBtr0073533
CG2371	FBtr0073534
bif	FBtr0073526
Amun	FBtr0073615
Amun	FBtr0073618
prtp	FBtr0073551
Tango10	FBtr0073552
Tango10	FBtr0073553
CkIIbeta	FBtr0073560
Hsc70-3	FBtr0073609
CG1578	FBtr0345160
CG1578	FBtr0073607
rudhira	FBtr0305603
p24-1	FBtr0073604
p24-1	FBtr0334455
CG10347	FBtr0073603
ATP7	FBtr0273257
CG2025	FBtr0073601
CG1847	FBtr0073567
CG1847	FBtr0330413
CG11802	FBtr0073600
CG1840	FBtr0073571
sicily	FBtr0346165
sicily	FBtr0073572
wisp	FBtr0342743
gd	FBtr0332308
tsg	FBtr0073582
Chrac-16	FBtr0339625
Chrac-16	FBtr0073642
CG15735	FBtr0073621
Tango4	FBtr0073622
Usp7	FBtr0073641
Usp7	FBtr0342732
CG12721	FBtr0073637
CG1924	FBtr0073634
Rab40	FBtr0073668
Rab40	FBtr0073669
CG11138	FBtr0073662
LIMK1	FBtr0301830
Aven	FBtr0073709
Aven	FBtr0346122
CkIalpha	FBtr0345162
CR33963	FBtr0100004
Tis11	FBtr0345165
CG4004	FBtr0333722
CG32649	FBtr0073697
CG4407	FBtr0073695
CG4404	FBtr0073694
mRpL49	FBtr0073691
mRpL49	FBtr0343185
Brms1	FBtr0073693
CG4645	FBtr0073692
CG4645	FBtr0343649
CG4645	FBtr0346316
hep	FBtr0073747
lic	FBtr0073720
CG2200	FBtr0340301
CG2200	FBtr0073721
CG43313	FBtr0346130
CG43313	FBtr0306847
CG32638	FBtr0300453
MFS10	FBtr0339677
MFS10	FBtr0073724
CG4332	FBtr0073726
Bap60	FBtr0073741
CG12096	FBtr0073727
CG12096	FBtr0340298
CG12096	FBtr0340299
CG2453	FBtr0073737
CG2453	FBtr0346124
CG2453	FBtr0346125
REG	FBtr0073730
CG15743	FBtr0346123
CG15743	FBtr0073755
CG15743	FBtr0333330
CG1764	FBtr0073796
CG1622	FBtr0073757
CR45018	FBtr0346132
CR45018	FBtr0344174
Jafrac1	FBtr0073763
Jafrac1	FBtr0345161
RpS15Aa	FBtr0300828
CG15747	FBtr0073766
Yippee	FBtr0073789
CG1662	FBtr0073776
CG1662	FBtr0342624
Set2	FBtr0073779
BthD	FBtr0073806
tth	FBtr0073849
tth	FBtr0346118
NFAT	FBtr0301450
CG11164	FBtr0073809
CG11164	FBtr0340397
CG9941	FBtr0073843
mus101	FBtr0073817
Grip91	FBtr0073841
CG11134	FBtr0073818
CG11151	FBtr0073819
Pdcd4	FBtr0073840
CG32625	FBtr0073839
Rtc1	FBtr0073820
CtsB1	FBtr0073838
CG11103	FBtr0100218
Clic	FBtr0073835
Clic	FBtr0346089
Nup93-1	FBtr0073828
jub	FBtr0340292
jub	FBtr0303418
ben	FBtr0300566
ben	FBtr0073855
CG11590	FBtr0073899
l(1)G0007	FBtr0073900
CG11674	FBtr0073926
Fbxl4	FBtr0073923
CG1434	FBtr0339437
CG1434	FBtr0073903
mRNA-cap	FBtr0073922
mud	FBtr0308329
CG14414	FBtr0073932
mRpS25	FBtr0073945
nmdyn-D6	FBtr0073933
CG14411	FBtr0300432
CG14407	FBtr0073989
pdgy	FBtr0073972
CG5541	FBtr0073958
CG5548	FBtr0340425
CG5548	FBtr0073960
opm	FBtr0340429
opm	FBtr0073968
dob	FBtr0073961
Lsd-2	FBtr0073967
Lsd-2	FBtr0110968
Lsd-2	FBtr0340428
CR44662	FBtr0342724
CR44661	FBtr0342723
CG9065	FBtr0073966
CG15027	FBtr0073965
CG5599	FBtr0073964
RpL37a	FBtr0074027
RpL37a	FBtr0330403
CG5877	FBtr0340433
CG5877	FBtr0074001
Top1	FBtr0074005
Top1	FBtr0100294
Top1	FBtr0308699
Top1	FBtr0340434
dah	FBtr0074007
CG9114	FBtr0074020
HDAC6	FBtr0074008
HDAC6	FBtr0330405
CG6227	FBtr0074011
Scamp	FBtr0074079
CG11655	FBtr0074031
CG6299	FBtr0074032
CG6294	FBtr0074034
CG15643	FBtr0074072
CG15643	FBtr0340349
CG9213	FBtr0074071
CG9213	FBtr0340348
CG7872	FBtr0074046
CG9240	FBtr0074060
Pis	FBtr0074058
CG9281	FBtr0074056
CG9281	FBtr0340308
CG8191	FBtr0074083
Arp6	FBtr0074203
CG11679	FBtr0074202
CG8206	FBtr0074085
CG8206	FBtr0346187
CG8944	FBtr0074201
Tcp-1zeta	FBtr0074086
Paf-AHalpha	FBtr0074190
mRpS30	FBtr0074094
sun	FBtr0074176
Myb	FBtr0074173
Gapdh2	FBtr0074112
Gapdh2	FBtr0332618
MSBP	FBtr0074166
CycD	FBtr0300393
CG8924	FBtr0074130
Rrp47	FBtr0342745
Rrp47	FBtr0074132
CG8931	FBtr0074134
CG9172	FBtr0074152
CG9172	FBtr0074151
eIF5	FBtr0074149
CG8939	FBtr0074138
Nipsnap	FBtr0074258
Nipsnap	FBtr0074259
CG42354	FBtr0299949
Mfe2	FBtr0074209
Prosalpha4	FBtr0074210
eas	FBtr0074212
CG32576	FBtr0074245
CG3560	FBtr0074216
CG3679	FBtr0074222
CG3679	FBtr0336977
CG9914	FBtr0074240
CG9914	FBtr0346059
CG9915	FBtr0112992
Cyp1	FBtr0074238
CG9917	FBtr0074237
CG32579	FBtr0074225
CG9921	FBtr0333302
Dsp1	FBtr0089259
Dsp1	FBtr0289960
U2af50	FBtr0307178
U2af50	FBtr0074234
Fur2	FBtr0074261
Fur2	FBtr0074262
Fur2	FBtr0301301
CG9992	FBtr0074308
TH1	FBtr0074305
TH1	FBtr0340315
AnxB11	FBtr0334038
AnxB11	FBtr0074302
hang	FBtr0343571
CG9947	FBtr0074301
rngo	FBtr0074278
rngo	FBtr0343349
eIF-2alpha	FBtr0343016
eIF-2alpha	FBtr0074300
CG34015	FBtr0100070
Rbp2	FBtr0074279
Cnx14D	FBtr0074299
Arp2	FBtr0112868
Arp2	FBtr0310673
Arp2	FBtr0074295
Pp2B-14D	FBtr0309793
Pp2B-14D	FBtr0305593
Pp2B-14D	FBtr0074294
Ubc7	FBtr0074283
Ubc7	FBtr0340157
CG9784	FBtr0074289
Nup153	FBtr0074284
Nup153	FBtr0299587
Rok	FBtr0074286
Rok	FBtr0340151
RpS19a	FBtr0074311
RpS19a	FBtr0074312
RpS19a	FBtr0340149
SmG	FBtr0074377
SmG	FBtr0112993
mthl1	FBtr0074314
mthl1	FBtr0340150
CG9723	FBtr0074376
Axs	FBtr0074372
CG9609	FBtr0074356
Sap30	FBtr0074331
Rrp45	FBtr0344090
Rrp45	FBtr0074355
CG4768	FBtr0074332
CG4768	FBtr0305899
CG4768	FBtr0347029
CG9132	FBtr0074354
CG9125	FBtr0074352
CG13005	FBtr0074334
CG9104	FBtr0074348
