eIF-2gamma	FBtr0337054
eIF-2gamma	FBtr0310386
Set	FBtr0083062
Oscp	FBtr0083063
CG14864	FBtr0083128
Cp190	FBtr0083126
CG4338	FBtr0083066
MRG15	FBtr0083125
Tm1	FBtr0089962
Tm1	FBtr0089960
CG6276	FBtr0083123
ear	FBtr0083082
ear	FBtr0330039
ear	FBtr0334695
ea	FBtr0083083
mRpL9	FBtr0083084
FK506-bp1	FBtr0083120
Sra-1	FBtr0083085
Aats-ser	FBtr0083086
Aats-ser	FBtr0334589
Surf4	FBtr0083117
CG5038	FBtr0083089
ldlCp	FBtr0083114
Trax	FBtr0083093
CG6171	FBtr0083113
CG6171	FBtr0112926
Ccm3	FBtr0083094
Atx2	FBtr0083099
nsl1	FBtr0309861
nsl1	FBtr0334592
alpha-Man-IIb	FBtr0083179
ND23	FBtr0083191
Pbp45	FBtr0083190
glob1	FBtr0083247
CG5478	FBtr0083242
CG4287	FBtr0083240
CG5516	FBtr0083212
Rbf2	FBtr0083213
mor	FBtr0083238
mor	FBtr0302550
CG5013	FBtr0083223
Akt1	FBtr0083226
Akt1	FBtr0083227
Akt1	FBtr0083228
Akt1	FBtr0344717
CG5903	FBtr0347199
CG5903	FBtr0083281
CG5903	FBtr0344013
Bin1	FBtr0083279
sra	FBtr0083255
mtSSB	FBtr0083277
bor	FBtr0083276
SF2	FBtr0304727
SF2	FBtr0083272
Manf	FBtr0083283
CG17931	FBtr0345208
CG17931	FBtr0083323
CR45631	FBtr0346325
CG17565	FBtr0083286
CG14881	FBtr0083288
mRpS33	FBtr0083316
CG14894	FBtr0337016
CG14894	FBtr0083314
Pak3	FBtr0305003
Pak3	FBtr0330047
Pak3	FBtr0083312
CG14883	FBtr0083291
CSN5	FBtr0083292
CR46029	FBtr0347203
CG14898	FBtr0083308
Der-2	FBtr0083307
CG14903	FBtr0083303
CG10340	FBtr0083358
Fas1	FBtr0083332
nonA-l	FBtr0083335
nonA-l	FBtr0333727
CG10326	FBtr0083336
CG10326	FBtr0333728
Cctgamma	FBtr0083337
Cctgamma	FBtr0083338
AdSL	FBtr0083373
CG3995	FBtr0083428
Patr-1	FBtr0083392
Patr-1	FBtr0339155
Ns1	FBtr0083426
mRpS11	FBtr0089894
kuk	FBtr0083398
cal1	FBtr0083400
m-cup	FBtr0083414
Det	FBtr0083408
CREG	FBtr0089895
CREG	FBtr0089896
CG5823	FBtr0083505
l(3)07882	FBtr0347218
l(3)07882	FBtr0083504
SF1	FBtr0083456
Prx3	FBtr0083503
sll	FBtr0083462
CG7523	FBtr0083490
ald	FBtr0083478
alt	FBtr0335027
alt	FBtr0089412
Pxt	FBtr0083508
CG7379	FBtr0083529
CG17802	FBtr0083526
CG7357	FBtr0083524
CG18012	FBtr0083523
DNaseII	FBtr0083538
CG7785	FBtr0083539
CG14317	FBtr0083541
CG7218	FBtr0344646
CG7218	FBtr0083623
Cbp20	FBtr0083551
PP2A-B'	FBtr0290319
CG7208	FBtr0083618
Arp5	FBtr0336468
Ssdp	FBtr0083612
CG7183	FBtr0336471
mTerf5	FBtr0083609
Non3	FBtr0083562
Mdh2	FBtr0083563
CG7156	FBtr0083606
14-3-3epsilon	FBtr0083566
14-3-3epsilon	FBtr0083568
14-3-3epsilon	FBtr0083565
14-3-3epsilon	FBtr0083567
Rpb4	FBtr0310379
Vps39	FBtr0083601
eIF-1A	FBtr0083572
eIF-1A	FBtr0343927
l(3)05822	FBtr0083595
Dlc90F	FBtr0083575
CG18600	FBtr0083594
Vha100-2	FBtr0083657
CG44009	FBtr0334144
koko	FBtr0334146
CG7685	FBtr0083630
CG31122	FBtr0301432
fray	FBtr0083637
fray	FBtr0290107
CG31224	FBtr0083691
CG31224	FBtr0344326
CstF-64	FBtr0083660
Gos28	FBtr0083661
CG7705	FBtr0083688
CG7705	FBtr0083689
Mekk1	FBtr0083684
CG7718	FBtr0083682
gwl	FBtr0083674
EndoA	FBtr0083698
CG14291	FBtr0083724
Mpc1	FBtr0334525
Mpc1	FBtr0083723
Smu1	FBtr0083721
dnk	FBtr0083707
snRNP-U1-C	FBtr0083720
gukh	FBtr0089768
CG6005	FBtr0343992
CG6005	FBtr0083719
CG14286	FBtr0083710
NP15.6	FBtr0083712
